   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
   3.4606849          2888.5834         0.11381584E-06
   3.4669859          2930.7984         0.11706317E-06
   3.4732870          2973.6303         0.12040308E-06
   3.4795880          3017.0882         0.12383819E-06
   3.4858890          3061.1812         0.12737123E-06
   3.4921901          3105.9185         0.13100497E-06
   3.4984911          3151.3097         0.13474228E-06
   3.5047921          3197.3643         0.13858611E-06
   3.5110932          3244.0919         0.14253951E-06
   3.5173942          3291.5024         0.14660557E-06
   3.5236952          3339.6058         0.15078752E-06
   3.5299962          3388.4122         0.15508866E-06
   3.5362973          3437.9319         0.15951237E-06
   3.5425983          3488.1753         0.16406214E-06
   3.5488993          3539.1529         0.16874157E-06
   3.5552004          3590.8756         0.17355434E-06
   3.5615014          3643.3542         0.17850425E-06
   3.5678024          3696.5997         0.18359520E-06
   3.5741035          3750.6233         0.18883122E-06
   3.5804045          3805.4365         0.19421642E-06
   3.5867055          3861.0508         0.19975505E-06
   3.5930065          3917.4778         0.20545148E-06
   3.5993076          3974.7294         0.21131020E-06
   3.6056086          4032.8178         0.21733583E-06
   3.6119096          4091.7551         0.22353312E-06
   3.6182107          4151.5537         0.22990695E-06
   3.6245117          4212.2263         0.23646234E-06
   3.6308127          4273.7855         0.24320447E-06
   3.6371138          4336.2444         0.25013865E-06
   3.6434148          4399.6161         0.25727033E-06
   3.6497158          4463.9139         0.26460514E-06
   3.6560168          4529.1514         0.27214886E-06
   3.6623179          4595.3424         0.27990744E-06
